GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LastYandexProject,default,Account,0,64,0,16,0,8,0,12,0,4
LastYandexProject,default,Praktikum,21,0,2,0,7,0,3,0,2,0
